buffer_m,x,y,dropped,r,p,n
250,dNDBI,att_6-18h,NONE,0.5952380952380953,0.11952980613879259,8
250,dNDBI,att_6-18h,park03_outside18_2021,0.5714285714285715,0.1802019889115274,7
250,dNDBI,att_6-18h,park09_outside26_2021,0.6785714285714287,0.0937502539598313,7
250,dNDBI,att_6-18h,park11_outside09_2021,0.6785714285714287,0.0937502539598313,7
250,dNDBI,att_6-18h,park12_outside18_2021,0.5714285714285715,0.1802019889115274,7
250,dNDBI,att_6-18h,park13_outside18_2021,0.5714285714285715,0.1802019889115274,7
250,dNDBI,att_6-18h,park16_outside28_2021,0.8214285714285715,0.023448808345691505,7
250,dNDBI,att_6-18h,park18_outside32_2021,0.39285714285714296,0.38331687042697266,7
250,dNDBI,att_6-18h,park20_outside30_2021,0.39285714285714296,0.38331687042697266,7
500,dNDVI,att_7-14d,NONE,-0.5714285714285715,0.13895995716070667,8
500,dNDVI,att_7-14d,park03_outside18_2021,-0.642857142857143,0.11939237342741094,7
500,dNDVI,att_7-14d,park09_outside26_2021,-0.5,0.2531699951003227,7
500,dNDVI,att_7-14d,park11_outside09_2021,-0.7142857142857144,0.0713435614675376,7
500,dNDVI,att_7-14d,park12_outside18_2021,-0.5,0.2531699951003227,7
500,dNDVI,att_7-14d,park13_outside18_2021,-0.4642857142857144,0.2939341076002517,7
500,dNDVI,att_7-14d,park16_outside28_2021,-0.642857142857143,0.11939237342741094,7
500,dNDVI,att_7-14d,park18_outside32_2021,-0.5,0.2531699951003227,7
500,dNDVI,att_7-14d,park20_outside30_2021,-0.5,0.2531699951003227,7
500,dNDBI,att_7-14d,NONE,0.5952380952380953,0.11952980613879259,8
500,dNDBI,att_7-14d,park03_outside18_2021,0.5714285714285715,0.1802019889115274,7
500,dNDBI,att_7-14d,park09_outside26_2021,0.4642857142857144,0.2939341076002517,7
500,dNDBI,att_7-14d,park11_outside09_2021,0.7142857142857144,0.0713435614675376,7
500,dNDBI,att_7-14d,park12_outside18_2021,0.5714285714285715,0.1802019889115274,7
500,dNDBI,att_7-14d,park13_outside18_2021,0.6071428571428572,0.1482311614811614,7
500,dNDBI,att_7-14d,park16_outside28_2021,0.7857142857142859,0.03623846267982714,7
500,dNDBI,att_7-14d,park18_outside32_2021,0.5714285714285715,0.1802019889115274,7
500,dNDBI,att_7-14d,park20_outside30_2021,0.39285714285714296,0.38331687042697266,7
250,dNDBI,att_2-6h,NONE,0.5476190476190477,0.1600256425388966,8
250,dNDBI,att_2-6h,park03_outside18_2021,0.7500000000000002,0.05218140045705776,7
250,dNDBI,att_2-6h,park09_outside26_2021,0.5714285714285715,0.1802019889115274,7
250,dNDBI,att_2-6h,park11_outside09_2021,0.5714285714285715,0.1802019889115274,7
250,dNDBI,att_2-6h,park12_outside18_2021,0.42857142857142866,0.337368311085824,7
250,dNDBI,att_2-6h,park13_outside18_2021,0.42857142857142866,0.337368311085824,7
250,dNDBI,att_2-6h,park16_outside28_2021,0.5714285714285715,0.1802019889115274,7
250,dNDBI,att_2-6h,park18_outside32_2021,0.642857142857143,0.11939237342741094,7
250,dNDBI,att_2-6h,park20_outside30_2021,0.3214285714285715,0.4820720382996776,7
