feature,target,spearman_rho,p_value,n,abs_rho
out_NDVI_core_minus_outer,coh_2-6h,-0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_NDVI_core_minus_outer,coh_6-18h,-0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_NDVI_core_minus_outer,coh_short,-0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_NDBI_core_minus_outer,coh_2-6h,0.7075275528876865,0.04962826073486125,8,0.7075275528876865
out_NDBI_core_minus_outer,coh_6-18h,0.7075275528876865,0.04962826073486125,8,0.7075275528876865
out_NDBI_core_minus_outer,coh_short,0.7075275528876865,0.04962826073486125,8,0.7075275528876865
out_NDBI_core_minus_outer,coh_18-30h (diurnal),0.6831300510639734,0.06183472987214336,8,0.6831300510639734
out_NDBI_core_minus_outer,coh_diurnal,0.6831300510639734,0.06183472987214336,8,0.6831300510639734
built_core_advantage,att_short,-0.6190476190476191,0.1017330374542646,8,0.6190476190476191
built_mid_advantage,att_7-14d,-0.6190476190476191,0.1017330374542646,8,0.6190476190476191
built_mid_advantage,coh_7-14d,-0.6190476190476191,0.1017330374542646,8,0.6190476190476191
built_mid_advantage,coh_long,-0.6190476190476191,0.1017330374542646,8,0.6190476190476191
dNDBI_ring_0_250,att_short,0.6190476190476191,0.1017330374542646,8,0.6190476190476191
dNDBI_ring_250_500,att_7-14d,0.6190476190476191,0.1017330374542646,8,0.6190476190476191
dNDBI_ring_250_500,coh_7-14d,0.6190476190476191,0.1017330374542646,8,0.6190476190476191
dNDBI_ring_250_500,coh_long,0.6190476190476191,0.1017330374542646,8,0.6190476190476191
built_core_advantage,att_6-18h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
built_outer_advantage,att_2-6h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
dNDBI_mid_minus_outer,coh_2-6h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
dNDBI_ring_0_250,att_6-18h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
dNDBI_ring_500_1000,att_2-6h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
green_contrast_persistence,coh_2-6h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
park_NDVI_core_minus_outer,att_2-6h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
park_NDVI_core_minus_outer,coh_6-18h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
