buffer_m,band,x,y,spearman_r,p_value,n
250,2-6h,dNDVI,att_2-6h,-0.1666666666666667,0.693238811728395,8
250,2-6h,dNDVI,coh_2-6h,0.3571428571428572,0.38512064355625636,8
250,2-6h,dNDBI,att_2-6h,0.5476190476190477,0.1600256425388966,8
250,2-6h,dNDBI,coh_2-6h,-0.09523809523809526,0.8225054302036114,8
250,6-18h,dNDVI,att_6-18h,-0.3571428571428572,0.38512064355625636,8
250,6-18h,dNDVI,coh_6-18h,0.14285714285714288,0.735764859879812,8
250,6-18h,dNDBI,att_6-18h,0.5952380952380953,0.11952980613879259,8
250,6-18h,dNDBI,coh_6-18h,0.11904761904761905,0.7788857260523797,8
250,18-30h (diurnal),dNDVI,att_18-30h (diurnal),-0.2380952380952381,0.5701563208157683,8
250,18-30h (diurnal),dNDVI,coh_18-30h (diurnal),0.14285714285714288,0.735764859879812,8
250,18-30h (diurnal),dNDBI,att_18-30h (diurnal),0.4285714285714286,0.2894032248467901,8
250,18-30h (diurnal),dNDBI,coh_18-30h (diurnal),0.2380952380952381,0.5701563208157683,8
250,2-7d,dNDVI,att_2-7d,-0.19047619047619052,0.6514014957024814,8
250,2-7d,dNDVI,coh_2-7d,-0.261904761904762,0.530922861565801,8
250,2-7d,dNDBI,att_2-7d,0.38095238095238104,0.35181255311756476,8
250,2-7d,dNDBI,coh_2-7d,0.4285714285714286,0.2894032248467901,8
250,7-14d,dNDVI,att_7-14d,-0.3333333333333334,0.4197530864197531,8
250,7-14d,dNDVI,coh_7-14d,-0.38095238095238104,0.35181255311756476,8
250,7-14d,dNDBI,att_7-14d,0.523809523809524,0.18272075053971484,8
250,7-14d,dNDBI,coh_7-14d,0.5476190476190477,0.1600256425388966,8
500,2-6h,dNDVI,att_2-6h,-0.28571428571428575,0.4927262450169573,8
500,2-6h,dNDVI,coh_2-6h,0.4523809523809524,0.260404767436885,8
500,2-6h,dNDBI,att_2-6h,0.523809523809524,0.18272075053971484,8
500,2-6h,dNDBI,coh_2-6h,-0.19047619047619052,0.6514014957024814,8
500,6-18h,dNDVI,att_6-18h,-0.4285714285714286,0.2894032248467901,8
500,6-18h,dNDVI,coh_6-18h,0.2142857142857143,0.6103444156452669,8
500,6-18h,dNDBI,att_6-18h,0.523809523809524,0.18272075053971484,8
500,6-18h,dNDBI,coh_6-18h,0.023809523809523815,0.9553740118158807,8
500,18-30h (diurnal),dNDVI,att_18-30h (diurnal),-0.38095238095238104,0.35181255311756476,8
500,18-30h (diurnal),dNDVI,coh_18-30h (diurnal),0.023809523809523815,0.9553740118158807,8
500,18-30h (diurnal),dNDBI,att_18-30h (diurnal),0.4523809523809524,0.260404767436885,8
500,18-30h (diurnal),dNDBI,coh_18-30h (diurnal),0.14285714285714288,0.735764859879812,8
500,2-7d,dNDVI,att_2-7d,-0.30952380952380953,0.4556448907375822,8
500,2-7d,dNDVI,coh_2-7d,-0.38095238095238104,0.35181255311756476,8
500,2-7d,dNDBI,att_2-7d,0.38095238095238104,0.35181255311756476,8
500,2-7d,dNDBI,coh_2-7d,0.4047619047619048,0.3198886412288162,8
500,7-14d,dNDVI,att_7-14d,-0.5714285714285715,0.13895995716070667,8
500,7-14d,dNDVI,coh_7-14d,-0.5476190476190477,0.1600256425388966,8
500,7-14d,dNDBI,att_7-14d,0.5952380952380953,0.11952980613879259,8
500,7-14d,dNDBI,coh_7-14d,0.5476190476190477,0.1600256425388966,8
1000,2-6h,dNDVI,att_2-6h,-0.5476190476190477,0.1600256425388966,8
1000,2-6h,dNDVI,coh_2-6h,-0.09523809523809526,0.8225054302036114,8
1000,2-6h,dNDBI,att_2-6h,0.5476190476190477,0.1600256425388966,8
1000,2-6h,dNDBI,coh_2-6h,0.1666666666666667,0.693238811728395,8
1000,6-18h,dNDVI,att_6-18h,-0.28571428571428575,0.4927262450169573,8
1000,6-18h,dNDVI,coh_6-18h,-0.14285714285714288,0.735764859879812,8
1000,6-18h,dNDBI,att_6-18h,0.2380952380952381,0.5701563208157683,8
1000,6-18h,dNDBI,coh_6-18h,0.28571428571428575,0.4927262450169573,8
1000,18-30h (diurnal),dNDVI,att_18-30h (diurnal),-0.4523809523809524,0.260404767436885,8
1000,18-30h (diurnal),dNDVI,coh_18-30h (diurnal),-0.2142857142857143,0.6103444156452669,8
1000,18-30h (diurnal),dNDBI,att_18-30h (diurnal),0.28571428571428575,0.4927262450169573,8
1000,18-30h (diurnal),dNDBI,coh_18-30h (diurnal),0.19047619047619052,0.6514014957024814,8
1000,2-7d,dNDVI,att_2-7d,-0.261904761904762,0.530922861565801,8
1000,2-7d,dNDVI,coh_2-7d,-0.30952380952380953,0.4556448907375822,8
1000,2-7d,dNDBI,att_2-7d,0.14285714285714288,0.735764859879812,8
1000,2-7d,dNDBI,coh_2-7d,0.19047619047619052,0.6514014957024814,8
1000,7-14d,dNDVI,att_7-14d,-0.4285714285714286,0.2894032248467901,8
1000,7-14d,dNDVI,coh_7-14d,-0.38095238095238104,0.35181255311756476,8
1000,7-14d,dNDBI,att_7-14d,0.30952380952380953,0.4556448907375822,8
1000,7-14d,dNDBI,coh_7-14d,0.28571428571428575,0.4927262450169573,8
