park_id,park_name,status,n_candidates,selected_name,selected_score,selected_contains_point,selected_area_m2,error
1,สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ,OK_NEAREST_CANDIDATE,1,สวน 60 พรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ,215.78823198057108,0.0,85841.83843672318,
2,สวนกีฬารามอินทรา,OK_CONTAINS_POINT,1,สวนกีฬารามอินทรา,1251.6005037261327,1.0,89011.44045965049,
3,สวนจตุจักร,OK_NEAREST_CANDIDATE,25,สวนจตุจักร,127.16721054181741,0.0,253560.08672044668,
4,สวนเฉลิมพระเกียรติ80 พรรษา,OK_CONTAINS_POINT,1,สวนบางขุนนนท์,1164.6988413850854,1.0,31634.224227833063,
5,สวนทวีวนารมย์,OK_CONTAINS_POINT,1,สวนทวีวนารมย์,1254.6972455475939,1.0,77815.48248770423,
6,สวนธนบุรีรมย์,OK_NEAREST_CANDIDATE,9,สวนธนบุรีรมย์,231.98092099178317,0.0,101591.52208103224,
7,สวนบางแคภิรมย์,OK_NEAREST_CANDIDATE,1,สวนบางแคภิรมย์,208.27871246348965,0.0,107561.04838595593,
8,สวนเบญจกิติ,OK_NEAREST_CANDIDATE,144,สวนเบญจกิติ,162.45198356225038,0.0,224617.671262041,
9,สวนพระนคร,OK_CONTAINS_POINT,2,สวนพระนคร,1265.406148773317,1.0,81794.6805636949,
10,สวนรมณีย์ทุ่งสีกัน,OK_CONTAINS_POINT,2,สวนรมณีย์ทุ่งสีกัน,1287.1304923981784,1.0,26594.964260633722,
11,สวนลุมพินี,OK_CONTAINS_POINT,95,สวนลุมพินี,1156.3026990127605,1.0,523759.1703932053,
12,สวนวชิรเบญจทัศ,OK_CONTAINS_POINT,14,สวนวชิรเบญจทัศ,1195.4931953197906,1.0,576482.6026751898,
13,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,OK_CONTAINS_POINT,18,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,1189.373238615173,1.0,318929.7341189583,
14,สวนสันติภาพ,OK_CONTAINS_POINT,22,สวนสันติภาพ,1235.8137685733473,1.0,28403.23499099923,
15,สวนสาธารณะเฉลิมพระเกียรติ6 รอบพระชนมพรรษา,OSM_QUERY_FAIL,0,,,,,"No matching features. Check query location, tags, and log."
16,สวนหนองจอก,OK_NEAREST_CANDIDATE,1,สวนหนองจอก,176.5235634432408,0.0,58157.43257729251,
17,สวนหลวงพระราม 8,OK_CONTAINS_POINT,14,สวนหลวงพระราม 8,1276.3371948827678,1.0,31263.815144410884,
18,สวนหลวง ร.9,OK_NEAREST_CANDIDATE,5,สวนกล,188.97629373969144,0.0,1982.6576780412381,
19,อุทยานเบญจสิริ,OK_NEAREST_CANDIDATE,3,อุทยานเบญจสิริ,256.25305621433426,0.0,41331.91977033671,
20,สวนเสรีไทย,OK_CONTAINS_POINT,7,สวนเสรีไทย,1228.4074751292962,1.0,112727.46530653237,
