feature,target,spearman_rho,p_value,n,abs_rho
perimeter_m,coh_2-6h,-0.7619047619047621,0.028004939153071805,8,0.7619047619047621
core_frac_25,coh_6-18h,-0.6904761904761906,0.057990318164572716,8,0.6904761904761906
core_frac_25,coh_short,-0.6904761904761906,0.057990318164572716,8,0.6904761904761906
core_frac_50,coh_6-18h,-0.6904761904761906,0.057990318164572716,8,0.6904761904761906
core_frac_50,coh_short,-0.6904761904761906,0.057990318164572716,8,0.6904761904761906
edge_frac_25,coh_6-18h,0.6904761904761906,0.057990318164572716,8,0.6904761904761906
edge_frac_25,coh_short,0.6904761904761906,0.057990318164572716,8,0.6904761904761906
edge_frac_50,coh_6-18h,0.6904761904761906,0.057990318164572716,8,0.6904761904761906
edge_frac_50,coh_short,0.6904761904761906,0.057990318164572716,8,0.6904761904761906
perimeter_m,coh_6-18h,-0.6904761904761906,0.057990318164572716,8,0.6904761904761906
perimeter_m,coh_short,-0.6904761904761906,0.057990318164572716,8,0.6904761904761906
area_ha,coh_6-18h,-0.6666666666666669,0.07098765432098751,8,0.6666666666666669
area_ha,coh_short,-0.6666666666666669,0.07098765432098751,8,0.6666666666666669
equiv_radius_m,coh_6-18h,-0.6666666666666669,0.07098765432098751,8,0.6666666666666669
equiv_radius_m,coh_short,-0.6666666666666669,0.07098765432098751,8,0.6666666666666669
bbox_fill_ratio,coh_18-30h (diurnal),0.5952380952380953,0.11952980613879259,8,0.5952380952380953
bbox_fill_ratio,coh_diurnal,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
core_frac_25,coh_2-6h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
core_frac_50,coh_2-6h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
edge_frac_25,coh_2-6h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
edge_frac_50,coh_2-6h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
effective_width_m,coh_6-18h,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
effective_width_m,coh_short,-0.5952380952380953,0.11952980613879259,8,0.5952380952380953
perimeter_to_area,coh_6-18h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
perimeter_to_area,coh_short,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
area_ha,coh_2-6h,-0.5714285714285715,0.13895995716070667,8,0.5714285714285715
equiv_radius_m,coh_2-6h,-0.5714285714285715,0.13895995716070667,8,0.5714285714285715
effective_width_m,coh_2-6h,-0.523809523809524,0.18272075053971484,8,0.523809523809524
elongation_ratio,att_18-30h (diurnal),-0.523809523809524,0.18272075053971484,8,0.523809523809524
elongation_ratio,att_diurnal,-0.523809523809524,0.18272075053971484,8,0.523809523809524
perimeter_m,coh_18-30h (diurnal),-0.523809523809524,0.18272075053971484,8,0.523809523809524
perimeter_m,coh_diurnal,-0.523809523809524,0.18272075053971484,8,0.523809523809524
perimeter_to_area,coh_2-6h,0.523809523809524,0.18272075053971484,8,0.523809523809524
perimeter_m,att_2-6h,-0.5000000000000001,0.20703124999999997,8,0.5000000000000001
core_frac_100,coh_6-18h,-0.4637130167514838,0.24713781718399952,8,0.4637130167514838
core_frac_100,coh_short,-0.4637130167514838,0.24713781718399952,8,0.4637130167514838
edge_frac_100,coh_6-18h,0.4637130167514838,0.24713781718399952,8,0.4637130167514838
edge_frac_100,coh_short,0.4637130167514838,0.24713781718399952,8,0.4637130167514838
compactness_polsby,att_2-7d,0.4523809523809524,0.260404767436885,8,0.4523809523809524
compactness_polsby,coh_2-7d,0.4523809523809524,0.260404767436885,8,0.4523809523809524
elongation_ratio,att_2-7d,-0.4523809523809524,0.260404767436885,8,0.4523809523809524
effective_width_m,att_6-18h,0.4285714285714286,0.2894032248467901,8,0.4285714285714286
perimeter_to_area,att_6-18h,-0.4285714285714286,0.2894032248467901,8,0.4285714285714286
core_frac_100,att_2-6h,-0.40915854419248576,0.31414942752218256,8,0.40915854419248576
edge_frac_100,att_2-6h,0.40915854419248576,0.31414942752218256,8,0.40915854419248576
area_ha,att_6-18h,0.4047619047619048,0.3198886412288162,8,0.4047619047619048
compactness_polsby,att_18-30h (diurnal),0.4047619047619048,0.3198886412288162,8,0.4047619047619048
compactness_polsby,att_diurnal,0.4047619047619048,0.3198886412288162,8,0.4047619047619048
effective_width_m,att_short,0.4047619047619048,0.3198886412288162,8,0.4047619047619048
effective_width_m,coh_2-7d,0.4047619047619048,0.3198886412288162,8,0.4047619047619048
elongation_ratio,coh_2-7d,-0.4047619047619048,0.3198886412288162,8,0.4047619047619048
equiv_radius_m,att_6-18h,0.4047619047619048,0.3198886412288162,8,0.4047619047619048
perimeter_to_area,att_short,-0.4047619047619048,0.3198886412288162,8,0.4047619047619048
perimeter_to_area,coh_2-7d,-0.4047619047619048,0.3198886412288162,8,0.4047619047619048
core_frac_25,att_2-6h,-0.38095238095238104,0.35181255311756476,8,0.38095238095238104
core_frac_25,coh_2-7d,0.38095238095238104,0.35181255311756476,8,0.38095238095238104
core_frac_50,att_2-6h,-0.38095238095238104,0.35181255311756476,8,0.38095238095238104
core_frac_50,coh_2-7d,0.38095238095238104,0.35181255311756476,8,0.38095238095238104
edge_frac_25,att_2-6h,0.38095238095238104,0.35181255311756476,8,0.38095238095238104
edge_frac_25,coh_2-7d,-0.38095238095238104,0.35181255311756476,8,0.38095238095238104
edge_frac_50,att_2-6h,0.38095238095238104,0.35181255311756476,8,0.38095238095238104
edge_frac_50,coh_2-7d,-0.38095238095238104,0.35181255311756476,8,0.38095238095238104
effective_width_m,att_18-30h (diurnal),0.38095238095238104,0.35181255311756476,8,0.38095238095238104
effective_width_m,att_diurnal,0.38095238095238104,0.35181255311756476,8,0.38095238095238104
elongation_ratio,att_6-18h,-0.38095238095238104,0.35181255311756476,8,0.38095238095238104
perimeter_to_area,att_18-30h (diurnal),-0.38095238095238104,0.35181255311756476,8,0.38095238095238104
perimeter_to_area,att_diurnal,-0.38095238095238104,0.35181255311756476,8,0.38095238095238104
area_ha,att_18-30h (diurnal),0.3571428571428572,0.38512064355625636,8,0.3571428571428572
area_ha,att_2-7d,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
area_ha,att_diurnal,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
area_ha,att_short,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
area_ha,coh_2-7d,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
core_frac_25,att_6-18h,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
core_frac_50,att_6-18h,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
edge_frac_25,att_6-18h,-0.3571428571428572,0.38512064355625636,8,0.3571428571428572
edge_frac_50,att_6-18h,-0.3571428571428572,0.38512064355625636,8,0.3571428571428572
effective_width_m,att_2-7d,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
effective_width_m,coh_7-14d,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
effective_width_m,coh_long,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
elongation_ratio,att_short,-0.3571428571428572,0.38512064355625636,8,0.3571428571428572
equiv_radius_m,att_18-30h (diurnal),0.3571428571428572,0.38512064355625636,8,0.3571428571428572
equiv_radius_m,att_2-7d,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
equiv_radius_m,att_diurnal,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
equiv_radius_m,att_short,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
equiv_radius_m,coh_2-7d,0.3571428571428572,0.38512064355625636,8,0.3571428571428572
perimeter_to_area,att_2-7d,-0.3571428571428572,0.38512064355625636,8,0.3571428571428572
perimeter_to_area,coh_7-14d,-0.3571428571428572,0.38512064355625636,8,0.3571428571428572
perimeter_to_area,coh_long,-0.3571428571428572,0.38512064355625636,8,0.3571428571428572
area_ha,att_2-6h,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
bbox_fill_ratio,coh_2-6h,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
bbox_fill_ratio,coh_2-7d,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
compactness_polsby,att_long,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
compactness_polsby,coh_6-18h,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
compactness_polsby,coh_7-14d,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
compactness_polsby,coh_long,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
