year,file,status,tier_prelim,out_file,raw_time_min,raw_time_max,n_times_before_cutoff,time_ok,whole_hour_rows,unique_time_rows,step_1h_count,step_1d_count,hourly_step_frac,daily_step_frac,median_step,expected_hours,pm25_nonnull,pm25_na,pm25_na_frac,coverage_frac_of_year,pm25_negative,nonnull_run_count,longest_nonnull_run_hours,longest_nonnull_run_days,median_nonnull_run_hours,note
2021,outside_09.csv,OK,Tier B,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_09_2021_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,8731.0,29.0,0.003310502283105023,0.996689497716895,18.0,21.0,1480.0,61.666666666666664,227.0,
2022,outside_09.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_09_2022_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,365.0,8395.0,0.9583333333333334,0.041666666666666664,0.0,365.0,1.0,0.041666666666666664,1.0,
2023,outside_09.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_09_2023_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,365.0,8395.0,0.9583333333333334,0.041666666666666664,0.0,365.0,1.0,0.041666666666666664,1.0,
2021,outside_12.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_12_2021_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,937.0,937.0,937.0,216.0,719.0,0.23076923076923078,0.7681623931623932,1 days 00:00:00,8760.0,447.0,8313.0,0.9489726027397261,0.05102739726027397,0.0,231.0,217.0,9.041666666666666,1.0,
2022,outside_12.csv,NO_DATA_IN_WINDOW,,,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,937.0,937.0,937.0,216.0,719.0,0.23076923076923078,0.7681623931623932,1 days 00:00:00,,,,,,,,,,,
2023,outside_12.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_12_2023_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,937.0,937.0,937.0,216.0,719.0,0.23076923076923078,0.7681623931623932,1 days 00:00:00,8760.0,360.0,8400.0,0.958904109589041,0.0410958904109589,2.0,360.0,1.0,0.041666666666666664,1.0,
2021,outside_14.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2022,outside_14.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2023,outside_14.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2021,outside_18.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_18_2021_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,8569.0,191.0,0.02180365296803653,0.9781963470319635,131.0,165.0,474.0,19.75,21.0,
