year,pair_id,status,pair_tier_prelim,park_id,outside_station_id,rank,expected_hours,park_nonnull_hours,outside_nonnull_hours,both_nonnull_hours,park_coverage_frac_of_year,outside_coverage_frac_of_year,both_coverage_frac_of_year,longest_park_nonnull_run_hours,longest_outside_nonnull_run_hours,longest_both_nonnull_run_hours,longest_park_nonnull_run_days,longest_outside_nonnull_run_days,longest_both_nonnull_run_days,median_park_nonnull_run_hours,median_outside_nonnull_run_hours,median_both_nonnull_run_hours,outside_status_yearscan,outside_tier_prelim_yearscan,outside_pm25_na_frac_yearscan,outside_longest_nonnull_run_hours_yearscan,park_file,outside_file,park_nonnull_run_count,outside_nonnull_run_count,both_nonnull_run_count
2021,park01_outside29_2021,OUTSIDE_FILE_MISSING,,1,29,1,,,,,,,,,,,,,,,,,,,,,analysis/data_processed/parks_hourly_grid/park01.csv,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_29_2021_hourly.csv,,,
2022,park01_outside29_2022,OUTSIDE_FILE_MISSING,,1,29,1,,,,,,,,,,,,,,,,,,,,,analysis/data_processed/parks_hourly_grid/park01.csv,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_29_2022_hourly.csv,,,
2023,park01_outside29_2023,OUTSIDE_FILE_MISSING,,1,29,1,,,,,,,,,,,,,,,,,,,,,analysis/data_processed/parks_hourly_grid/park01.csv,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_29_2023_hourly.csv,,,
2021,park02_outside21_2021,OUTSIDE_FILE_MISSING,,2,21,1,,,,,,,,,,,,,,,,,,,,,analysis/data_processed/parks_hourly_grid/park02.csv,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_21_2021_hourly.csv,,,
2022,park02_outside21_2022,OUTSIDE_FILE_MISSING,,2,21,1,,,,,,,,,,,,,,,,,,,,,analysis/data_processed/parks_hourly_grid/park02.csv,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_21_2022_hourly.csv,,,
2023,park02_outside21_2023,OUTSIDE_FILE_MISSING,,2,21,1,,,,,,,,,,,,,,,,,,,,,analysis/data_processed/parks_hourly_grid/park02.csv,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_21_2023_hourly.csv,,,
2021,park03_outside18_2021,OK,Tier C,3,18,1,8760.0,8696.0,8569.0,8505.0,0.9926940639269406,0.9781963470319635,0.9708904109589042,2550.0,474.0,474.0,106.25,19.75,19.75,430.0,21.0,21.0,OK,Tier C,0.0218036529680365,474.0,analysis/data_processed/parks_hourly_grid/park03.csv,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_18_2021_hourly.csv,15.0,165.0,177.0
2022,park03_outside18_2022,OK,Tier C,3,18,1,8760.0,8749.0,363.0,363.0,0.9987442922374429,0.041438356164383565,0.041438356164383565,1607.0,1.0,1.0,66.95833333333333,0.041666666666666664,0.041666666666666664,633.5,1.0,1.0,OK,Tier C,0.9585616438356164,1.0,analysis/data_processed/parks_hourly_grid/park03.csv,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_18_2022_hourly.csv,12.0,363.0,363.0
2023,park03_outside18_2023,OK,Tier C,3,18,1,8760.0,8725.0,360.0,359.0,0.9960045662100456,0.0410958904109589,0.04098173515981735,4335.0,1.0,1.0,180.625,0.041666666666666664,0.041666666666666664,876.0,1.0,1.0,OK,Tier C,0.958904109589041,1.0,analysis/data_processed/parks_hourly_grid/park03.csv,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_18_2023_hourly.csv,6.0,360.0,359.0
2021,park05_outside40_2021,OK,Tier C,5,40,1,8760.0,8692.0,572.0,570.0,0.9922374429223745,0.06529680365296804,0.06506849315068493,3319.0,217.0,217.0,138.29166666666666,9.041666666666666,9.041666666666666,308.0,1.0,1.0,OK,Tier C,0.934703196347032,217.0,analysis/data_processed/parks_hourly_grid/park05.csv,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_40_2021_hourly.csv,16.0,356.0,354.0
2022,park05_outside40_2022,OK,Tier C,5,40,1,8760.0,8748.0,362.0,362.0,0.9986301369863013,0.04132420091324201,0.04132420091324201,1344.0,1.0,1.0,56.0,0.041666666666666664,0.041666666666666664,598.0,1.0,1.0,OK,Tier C,0.958675799086758,1.0,analysis/data_processed/parks_hourly_grid/park05.csv,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_40_2022_hourly.csv,13.0,362.0,362.0
2023,park05_outside40_2023,OK,Tier C,5,40,1,8760.0,8756.0,311.0,311.0,0.9995433789954338,0.03550228310502283,0.03550228310502283,3180.0,192.0,192.0,132.5,8.0,8.0,2272.5,1.0,1.0,OK,Tier C,0.9644977168949772,192.0,analysis/data_processed/parks_hourly_grid/park05.csv,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_40_2023_hourly.csv,4.0,120.0,120.0
2021,park06_outside46_2021,OK,Tier C,6,46,1,8760.0,8634.0,572.0,567.0,0.9856164383561644,0.06529680365296804,0.06472602739726027,1517.0,217.0,217.0,63.208333333333336,9.041666666666666,9.041666666666666,351.0,1.0,1.0,OK,Tier C,0.934703196347032,217.0,analysis/data_processed/parks_hourly_grid/park06.csv,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_46_2021_hourly.csv,19.0,356.0,351.0
2022,park06_outside46_2022,OK,Tier C,6,46,1,8760.0,8749.0,362.0,362.0,0.9987442922374429,0.04132420091324201,0.04132420091324201,1407.0,1.0,1.0,58.625,0.041666666666666664,0.041666666666666664,621.5,1.0,1.0,OK,Tier C,0.958675799086758,1.0,analysis/data_processed/parks_hourly_grid/park06.csv,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_46_2022_hourly.csv,12.0,362.0,362.0
2023,park06_outside46_2023,OK,Tier C,6,46,1,8760.0,8729.0,313.0,312.0,0.9964611872146119,0.03573059360730593,0.03561643835616438,4400.0,167.0,167.0,183.33333333333334,6.958333333333333,6.958333333333333,516.0,1.0,1.0,OK,Tier C,0.964269406392694,167.0,analysis/data_processed/parks_hourly_grid/park06.csv,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_46_2023_hourly.csv,9.0,124.0,123.0
2021,park07_outside41_2021,OK,Tier C,7,41,1,8760.0,8712.0,572.0,571.0,0.9945205479452055,0.06529680365296804,0.06518264840182648,2233.0,217.0,217.0,93.04166666666667,9.041666666666666,9.041666666666666,464.5,1.0,1.0,OK,Tier C,0.934703196347032,217.0,analysis/data_processed/parks_hourly_grid/park07.csv,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_41_2021_hourly.csv,12.0,356.0,355.0
2022,park07_outside41_2022,OK,Tier C,7,41,1,8760.0,8739.0,363.0,362.0,0.9976027397260274,0.041438356164383565,0.04132420091324201,1186.0,1.0,1.0,49.416666666666664,0.041666666666666664,0.041666666666666664,576.5,1.0,1.0,OK,Tier C,0.9585616438356164,1.0,analysis/data_processed/parks_hourly_grid/park07.csv,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_41_2022_hourly.csv,14.0,363.0,362.0
2023,park07_outside41_2023,OK,Tier C,7,41,1,8760.0,8662.0,312.0,310.0,0.9888127853881279,0.03561643835616438,0.03538812785388128,5064.0,167.0,167.0,211.0,6.958333333333333,6.958333333333333,993.0,1.0,1.0,OK,Tier C,0.9643835616438357,167.0,analysis/data_processed/parks_hourly_grid/park07.csv,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_41_2023_hourly.csv,5.0,123.0,121.0
